brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,desc
Ford,Utility Police Interceptor Base,2013,"51,000 mi.",E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$10,300 ","Ford Utility Police Interceptor Base 2013, Black exterior, Black interior, 51,000 mi., 300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability, 6-Speed A/T, E85 Flex Fuel, At least 1 accident or damage reported"
Hyundai,Palisade SEL,2021,"34,742 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,"$38,005 ","Hyundai Palisade SEL 2021, Moonlight Cloud exterior, Gray interior, 34,742 mi., 3.8L V6 24V GDI DOHC, 8-Speed Automatic, Gasoline, At least 1 accident or damage reported"
Lexus,RX 350 RX 350,2022,"22,372 mi.",Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None reported,,"$54,598 ","Lexus RX 350 RX 350 2022, Blue exterior, Black interior, 22,372 mi., 3.5 Liter DOHC, Automatic, Gasoline, None reported"
INFINITI,Q50 Hybrid Sport,2015,"88,900 mi.",Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,"$15,500 ","INFINITI Q50 Hybrid Sport 2015, Black exterior, Black interior, 88,900 mi., 354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid, 7-Speed A/T, Hybrid, None reported"
Audi,Q3 45 S line Premium Plus,2021,"9,835 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,None reported,,"$34,999 ","Audi Q3 45 S line Premium Plus 2021, Glacier White Metallic exterior, Black interior, 9,835 mi., 2.0L I4 16V GDI DOHC Turbo, 8-Speed Automatic, Gasoline, None reported"
Acura,ILX 2.4L,2016,"136,397 mi.",Gasoline,2.4 Liter,F,Silver,Ebony.,None reported,,"$14,798 ","Acura ILX 2.4L 2016, Silver exterior, Ebony. interior, 136,397 mi., 2.4 Liter, F, Gasoline, None reported"
Audi,S3 2.0T Premium Plus,2017,"84,000 mi.",Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,"$31,000 ","Audi S3 2.0T Premium Plus 2017, Blue exterior, Black interior, 84,000 mi., 292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
BMW,740 iL,2001,"242,000 mi.",Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,None reported,Yes,"$7,300 ","BMW 740 iL 2001, Green exterior, Green interior, 242,000 mi., 282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Lexus,RC 350 F Sport,2021,"23,436 mi.",Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$41,927 ","Lexus RC 350 F Sport 2021, Black exterior, Black interior, 23,436 mi., 311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Tesla,Model X Long Range Plus,2020,"34,000 mi.",,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,"$69,950 ","Tesla Model X Long Range Plus 2020, Black exterior, Black interior, 34,000 mi., 534.0HP Electric Motor Electric Fuel System, A/T, nan, None reported"
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,"27,608 mi.",Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,,"$73,897 ","Land Rover Range Rover Sport 3.0 Supercharged HST 2021, Fuji White exterior, Pimento / Ebony interior, 27,608 mi., V6, Automatic, Gasoline, None reported"
Aston,Martin DBS Superleggera,2019,"22,770 mi.",Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$184,606 ","Aston Martin DBS Superleggera 2019, Silver exterior, Black interior, 22,770 mi., 715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
